Enc (micros)    Dec (micros)
Enc: 4604	Dec: 4792
Enc: 4596	Dec: 4792
Enc: 4596	Dec: 4788
Enc: 4604	Dec: 4792
Enc: 4596	Dec: 4796
Enc: 4592	Dec: 4788
Enc: 4604	Dec: 4792
Enc: 4596	Dec: 4796
Enc: 4592	Dec: 4788
Enc: 4604	Dec: 4796
Enc: 4596	Dec: 4792
Enc: 4592	Dec: 4788
Enc: 4600	Dec: 4796
Enc: 4600	Dec: 4796
Enc: 4596	Dec: 4792
Enc: 4604	Dec: 4788
Enc: 4604	Dec: 4792
Enc: 4596	Dec: 4796
Enc: 4604	Dec: 4788
Enc: 4600	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4592	Dec: 4788
Enc: 4600	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4596	Dec: 4788
Enc: 4600	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4592	Dec: 4788
Enc: 4604	Dec: 4792
Enc: 4596	Dec: 4796
Enc: 4596	Dec: 4788
Enc: 4604	Dec: 4792
Enc: 4604	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4600	Dec: 4788
Enc: 4600	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4600	Dec: 4788
Enc: 4600	Dec: 4796
Enc: 4596	Dec: 4792
Enc: 4596	Dec: 4792
Enc: 4600	Dec: 4792
Enc: 4596	Dec: 4792
Enc: 4596	Dec: 4788
Enc: 4604	Dec: 4792
Enc: 4596	Dec: 4796
Enc: 4596	Dec: 4788
Enc: 4604	Dec: 4796
Enc: 4604	Dec: 4792
Enc: 4596	Dec: 4788
Enc: 4604	Dec: 4792
Enc: 4604	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4600	Dec: 4788
Enc: 4600	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4604	Dec: 4788
Enc: 4604	Dec: 4792
Enc: 4596	Dec: 4796
Enc: 4592	Dec: 4788
Enc: 4604	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4596	Dec: 4788
Enc: 4604	Dec: 4796
Enc: 4596	Dec: 4796
Enc: 4596	Dec: 4788
Enc: 4600	Dec: 4796
Enc: 4600	Dec: 4796
Enc: 4592	Dec: 4788
Enc: 4600	Dec: 4792
Enc: 4604	Dec: 4792
